Region,Hour,Technology,Fuel,Value
FR,62,SolarPV,Power,-0.0
NO,62,SolarPV,Power,-0.0
DK,62,SolarPV,Power,-0.0
UK,62,SolarPV,Power,-0.0
DE,63,SolarPV,Power,-0.0
FR,63,SolarPV,Power,-0.0
NO,63,SolarPV,Power,-0.0
DK,63,SolarPV,Power,-0.0
UK,63,SolarPV,Power,-0.0
DE,64,SolarPV,Power,-0.0
FR,64,SolarPV,Power,-0.0
NO,64,SolarPV,Power,-0.0
DK,64,SolarPV,Power,-0.0
UK,64,SolarPV,Power,-0.0
DE,65,SolarPV,Power,-0.0
FR,65,SolarPV,Power,-0.0
NO,65,SolarPV,Power,-0.0
DK,65,SolarPV,Power,-0.0
UK,65,SolarPV,Power,-0.0
DE,66,SolarPV,Power,-0.0
FR,66,SolarPV,Power,-0.0
NO,66,SolarPV,Power,-0.0
DK,66,SolarPV,Power,-0.0
UK,66,SolarPV,Power,-0.0
DE,67,SolarPV,Power,-0.0
FR,67,SolarPV,Power,-0.0
NO,67,SolarPV,Power,-0.0
DK,67,SolarPV,Power,-0.0
UK,67,SolarPV,Power,-0.0
DE,68,SolarPV,Power,-0.0
FR,68,SolarPV,Power,-0.0
NO,68,SolarPV,Power,-0.0
DK,68,SolarPV,Power,-0.0
UK,68,SolarPV,Power,-0.0
DE,69,SolarPV,Power,-0.0
FR,69,SolarPV,Power,-0.0
NO,69,SolarPV,Power,-0.0
DK,69,SolarPV,Power,-0.0
UK,69,SolarPV,Power,-0.0
DE,70,SolarPV,Power,-0.0
FR,70,SolarPV,Power,-0.0
NO,70,SolarPV,Power,-0.0
DK,70,SolarPV,Power,-0.0
UK,70,SolarPV,Power,-0.0
DE,71,SolarPV,Power,-0.0
FR,71,SolarPV,Power,-0.0
NO,71,SolarPV,Power,-0.0
DK,71,SolarPV,Power,-0.0
UK,71,SolarPV,Power,-0.0
DE,72,SolarPV,Power,-0.0
FR,72,SolarPV,Power,-0.0
NO,72,SolarPV,Power,-0.0
DK,72,SolarPV,Power,-0.0
UK,72,SolarPV,Power,-0.0
DE,73,SolarPV,Power,-0.0
FR,73,SolarPV,Power,-0.0
NO,73,SolarPV,Power,-0.0
DK,73,SolarPV,Power,-0.0
UK,73,SolarPV,Power,-0.0
DE,74,SolarPV,Power,-0.0
FR,74,SolarPV,Power,-0.0
NO,74,SolarPV,Power,-0.0
DK,74,SolarPV,Power,-0.0
UK,74,SolarPV,Power,-0.0
DE,75,SolarPV,Power,-0.0
FR,75,SolarPV,Power,-0.0
NO,75,SolarPV,Power,-0.0
DK,75,SolarPV,Power,-0.0
UK,75,SolarPV,Power,-0.0
DE,76,SolarPV,Power,-0.0
FR,76,SolarPV,Power,-0.0
NO,76,SolarPV,Power,-0.0
DK,76,SolarPV,Power,-0.0
UK,76,SolarPV,Power,-0.0
DE,77,SolarPV,Power,-0.0
FR,77,SolarPV,Power,-0.0
NO,77,SolarPV,Power,-0.0
DK,77,SolarPV,Power,-0.0
UK,77,SolarPV,Power,-0.0
DE,78,SolarPV,Power,-0.0
FR,78,SolarPV,Power,-0.0
NO,78,SolarPV,Power,-0.0
DK,78,SolarPV,Power,-0.0
UK,78,SolarPV,Power,-0.0
